	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
13	6	13	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	614.0	939.0	en	IT HAS THREE LITTLE HOLES ON IT	117	60	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-6	6	117.0	Doraemon_Long_Stories	800	1285	4					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	264.0	928.0	jp	"寒
さむ
い
……"	76	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-7	0		Doraemon_Long_Stories	800	1299	5					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	70.0	922.0	jp	"もって
帰
かえ
ろう
ドラえもん
なら
わかるかも"	157	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-7	1		Doraemon_Long_Stories	800	1299	5					
2	0	2	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	258.0	927.0	en	I'M COLD	85	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-7	0	85.0	Doraemon_Long_Stories	800	1299	5					
3	1	3	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	76.0	919.0	en	I'LL BRING THIS HOME. DORAEMON MIGHT KNOW SOMETHING ABOUT IT	140	126	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-7	1	140.0	Doraemon_Long_Stories	800	1299	5					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	661.0	137.0	jp	ウ！	39	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	0		Doraemon_Long_Stories	800	1273	6					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	311.0	140.0	jp	"重
おも
い
なあ"	76	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	1		Doraemon_Long_Stories	800	1273	6					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	58.0	416.0	jp	"ドラえ
も〜ん"	66	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	2		Doraemon_Long_Stories	800	1273	6					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	396.0	667.0	jp	"しょう
がない
なあ"	93	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	3		Doraemon_Long_Stories	800	1273	6					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	553.0	816.0	jp	"どこへ
いったん
だ"	93	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-8	4		Doraemon_Long_Stories	800	1273	6					
